date,price_hcm,price_hn,diff_hcm_hn,diff_hcm_day,diff_hn_day
2025-01-01,75872701.0,78286111.0,-2413410.0,0.0,0.0
2025-01-02,78753572.0,76976004.0,1777568.0,2880871.0,-1310107.0
2025-01-03,77659970.0,76848253.0,811717.0,-1093602.0,-127751.0
2025-01-04,76993292.0,75409261.0,1584031.0,-666678.0,-1438992.0
2025-01-05,74780093.0,74665514.0,114579.0,-2213199.0,-743747.0
2025-01-06,74779973.0,78686079.0,-3906106.0,-120.0,4020565.0
2025-01-07,74290418.0,78702090.0,-4411672.0,-489555.0,16011.0
2025-01-08,78330881.0,77365507.0,965374.0,4040463.0,-1336583.0
2025-01-09,77005575.0,75895149.0,1110426.0,-1325306.0,-1470358.0
2025-01-10,77540363.0,75946048.0,1594315.0,534788.0,50899.0
2025-01-11,74102922.0,77829778.0,-3726856.0,-3437441.0,1883730.0
2025-01-12,78849549.0,78685551.0,163998.0,4746627.0,855773.0
2025-01-13,78162213.0,78635432.0,-473219.0,-687336.0,-50119.0
2025-01-14,75061696.0,78099378.0,-3037682.0,-3100517.0,-536054.0
2025-01-15,74909125.0,77410158.0,-2501033.0,-152571.0,-689220.0
2025-01-16,74917023.0,74620700.0,296323.0,7898.0,-2789458.0
2025-01-17,75521211.0,75008144.0,513067.0,604188.0,387444.0
2025-01-18,76623782.0,78692771.0,-2068989.0,1102571.0,3684627.0
2025-01-19,76159725.0,77232145.0,-1072420.0,-464057.0,-1460626.0
2025-01-20,75456146.0,74245985.0,1210161.0,-703579.0,-2986160.0
2025-01-21,82364265.0,74707358.0,7656907.0,6908119.0,461373.0
2025-01-22,74697469.0,77517509.0,-2820040.0,-7666796.0,2810151.0
2025-01-23,75460723.0,74225308.0,1235415.0,763254.0,-3292201.0
2025-01-24,75831809.0,75004040.0,827769.0,371086.0,778732.0
2025-01-25,76280350.0,76943669.0,-663319.0,448541.0,1939629.0
2025-01-26,77925880.0,77659476.0,266404.0,1645530.0,715807.0
2025-01-27,74998369.0,77459806.0,-2461437.0,-2927511.0,-199670.0
2025-01-28,76571172.0,75321347.0,1249825.0,1572803.0,-2138459.0
2025-01-29,76962073.0,77760896.0,-798823.0,390901.0,2439549.0
2025-01-30,74232252.0,75386245.0,-1153993.0,-2729821.0,-2374651.0
2025-01-31,77037724.0,85844762.0,-8807038.0,2805472.0,10458517.0
2025-02-01,74852621.0,77932457.0,-3079836.0,-2185103.0,-7912305.0
2025-02-02,74325258.0,77448164.0,-3122906.0,-527363.0,-484293.0
2025-02-03,78744428.0,78446117.0,298311.0,4419170.0,997953.0
2025-02-04,78828160.0,77488064.0,1340096.0,83732.0,-958053.0
2025-02-05,78041987.0,77041543.0,1000444.0,-786173.0,-446521.0
2025-02-06,75523069.0,74668374.0,854695.0,-2518918.0,-2373169.0
2025-02-07,74488361.0,76038579.0,-1550218.0,-1034708.0,1370205.0
2025-02-08,77421165.0,75526012.0,1895153.0,2932804.0,-512567.0
2025-02-09,76200762.0,75419948.0,780814.0,-1220403.0,-106064.0
2025-02-10,74610191.0,79065053.0,-4454862.0,-1590571.0,3645105.0
2025-02-11,76475885.0,76165489.0,310396.0,1865694.0,-2899564.0
2025-02-12,74171943.0,78660233.0,-4488290.0,-2303942.0,2494744.0
2025-02-13,78546602.0,77355693.0,1190909.0,4374659.0,-1304540.0
2025-02-14,75293900.0,78174057.0,-2880157.0,-3252702.0,818364.0
2025-02-15,71632018.0,76713185.0,-5081167.0,-3661882.0,-1460872.0
2025-02-16,75558555.0,77084519.0,-1525964.0,3926537.0,371334.0
2025-02-17,76600340.0,76662588.0,-62248.0,1041785.0,-421931.0
2025-02-18,76733551.0,75176215.0,1557336.0,133211.0,-1486373.0
2025-02-19,74924272.0,77812261.0,-2887989.0,-1809279.0,2636046.0
2025-02-20,78847923.0,69708084.0,9139839.0,3923651.0,-8104177.0
2025-02-21,77875664.0,74321580.0,3554084.0,-972259.0,4613496.0
2025-02-22,78697495.0,77427361.0,1270134.0,821831.0,3105781.0
2025-02-23,78474137.0,75085553.0,3388584.0,-223358.0,-2341808.0
2025-02-24,76989500.0,78902293.0,-1912793.0,-1484637.0,3816740.0
